0001,太阳,～下山了,ha31no44,,
0002,月亮,～出来了,kun22la44,,
0003,星星,,l̥in44tei35,,
0004,云,,hau44,,
0005,风,,kji35,,
0006,台风,,（无）,,
0007,闪电,名词,io31i22,,
0008,雷,,kuŋ35kwaŋ31,,
0009,雨,,luŋ44ŋa31,,
0010,非常,比上条程度深：今天～热,hən22,,le35suŋ31
,,,,,
